Product ID,Product Name,Category,Country,City / Warehouse,Supplier,Date,Opening Stock,Units Sold,Units Received,Closing Stock,Reorder Level,Unit Cost,Lead Time (days),Damaged Units,Stock Status,Forecast Demand,Inventory Value
P001,Laptop,Electronics,USA,Los Angeles,Supplier C,2024-01-30,210,27,2,185,80,151,2,1,Healthy,28,27935
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-01-31,249,42,12,219,44,898,15,0,Healthy,31,196662
P002,Phone,Electronics,China,Shanghai,Supplier A,2024-02-01,206,22,27,211,65,1002,11,8,Healthy,29,211422
P002,Phone,Electronics,India,Delhi,Supplier C,2024-02-02,296,42,37,291,91,202,11,3,Healthy,18,58782
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-02-03,253,37,9,225,84,597,12,9,Healthy,58,134325
P003,Tablet,Electronics,China,Shenzhen,Supplier C,2024-02-04,200,22,56,234,97,1102,15,9,Healthy,21,257868
P002,Phone,Electronics,India,Delhi,Supplier C,2024-02-05,91,17,65,139,83,465,4,5,Healthy,13,64635
P005,Keyboard,Electronics,USA,Los Angeles,Supplier A,2024-02-06,241,40,58,259,88,1433,10,3,Healthy,33,371147
P005,Keyboard,Electronics,USA,New York,Supplier A,2024-02-07,288,45,45,288,48,804,11,9,Healthy,67,231552
P005,Keyboard,Electronics,Germany,Berlin,Supplier C,2024-02-08,59,42,44,61,88,332,2,9,Low,30,20252
P005,Keyboard,Electronics,Germany,Munich,Supplier C,2024-02-09,216,53,71,234,70,609,10,0,Healthy,14,142506
P004,Monitor,Electronics,India,Delhi,Supplier A,2024-02-10,131,17,37,151,60,196,6,7,Healthy,50,29596
P005,Keyboard,Electronics,USA,New York,Supplier B,2024-02-11,267,5,35,297,81,707,11,10,Healthy,31,209979
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-02-12,99,38,78,139,51,802,6,7,Healthy,60,111478
P005,Keyboard,Electronics,USA,Los Angeles,Supplier A,2024-02-13,89,44,74,119,72,905,5,4,Healthy,51,107695
P005,Keyboard,Electronics,China,Shanghai,Supplier C,2024-02-14,270,50,32,252,79,930,6,9,Healthy,68,234360
P001,Laptop,Electronics,Germany,Munich,Supplier C,2024-02-15,121,45,34,110,87,1231,3,3,Healthy,21,135410
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier C,2024-02-16,126,12,36,150,62,1279,9,1,Healthy,18,191850
P001,Laptop,Electronics,India,Mumbai,Supplier B,2024-02-17,143,36,32,139,78,678,5,4,Healthy,16,94242
P002,Phone,Electronics,USA,New York,Supplier A,2024-02-18,197,55,27,169,86,403,10,6,Healthy,20,68107
P003,Tablet,Electronics,India,Mumbai,Supplier B,2024-02-19,142,9,47,180,49,1296,12,2,Healthy,67,233280
P001,Laptop,Electronics,USA,Los Angeles,Supplier B,2024-02-20,252,42,48,258,59,489,14,10,Healthy,39,126162
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier A,2024-02-21,129,11,54,172,64,154,13,4,Healthy,68,26488
P005,Keyboard,Electronics,USA,Los Angeles,Supplier C,2024-02-22,232,43,45,234,46,462,14,10,Healthy,63,108108
P002,Phone,Electronics,Germany,Berlin,Supplier C,2024-02-23,285,25,45,305,82,786,11,7,Healthy,36,239730
P003,Tablet,Electronics,Thailand,Bangkok,Supplier C,2024-02-24,149,27,23,145,50,1180,12,3,Healthy,11,171100
P004,Monitor,Electronics,Thailand,Bangkok,Supplier C,2024-02-25,153,41,44,156,51,595,2,10,Healthy,24,92820
P004,Monitor,Electronics,China,Shanghai,Supplier A,2024-02-26,115,23,30,122,61,710,8,7,Healthy,10,86620
P004,Monitor,Electronics,Thailand,Bangkok,Supplier C,2024-02-27,252,43,49,258,47,231,5,10,Healthy,53,59598
P002,Phone,Electronics,China,Shanghai,Supplier C,2024-02-28,105,16,13,102,49,617,14,3,Healthy,65,62934
P003,Tablet,Electronics,India,Mumbai,Supplier A,2024-02-29,119,44,21,96,69,565,8,0,Healthy,22,54240
P003,Tablet,Electronics,India,Mumbai,Supplier A,2024-03-01,141,50,34,125,64,1348,3,7,Healthy,65,168500
P005,Keyboard,Electronics,India,Delhi,Supplier C,2024-03-02,121,41,74,154,95,83,8,9,Healthy,19,12782
P001,Laptop,Electronics,China,Shanghai,Supplier A,2024-03-03,261,46,74,289,61,1137,9,2,Healthy,56,328593
P004,Monitor,Electronics,Thailand,Chiang Mai,Supplier B,2024-03-04,271,33,5,243,69,293,8,2,Healthy,51,71199
P005,Keyboard,Electronics,India,Delhi,Supplier B,2024-03-05,126,53,27,100,81,817,4,3,Healthy,60,81700
P004,Monitor,Electronics,India,Mumbai,Supplier B,2024-03-06,188,20,48,216,46,875,12,9,Healthy,56,189000
P004,Monitor,Electronics,Thailand,Chiang Mai,Supplier B,2024-03-07,231,59,38,210,82,167,10,9,Healthy,44,35070
P003,Tablet,Electronics,India,Mumbai,Supplier B,2024-03-08,120,8,37,149,90,1469,13,0,Healthy,41,218881
P004,Monitor,Electronics,India,Delhi,Supplier A,2024-03-09,269,51,69,287,53,406,11,10,Healthy,29,116522
P004,Monitor,Electronics,China,Shanghai,Supplier B,2024-03-10,251,21,50,280,44,1191,5,4,Healthy,28,333480
P005,Keyboard,Electronics,China,Shanghai,Supplier A,2024-03-11,156,21,55,190,77,999,10,1,Healthy,61,189810
P005,Keyboard,Electronics,India,Delhi,Supplier A,2024-03-12,85,5,1,81,54,548,12,2,Healthy,29,44388
P002,Phone,Electronics,India,Delhi,Supplier B,2024-03-13,197,7,20,210,54,179,14,1,Healthy,65,37590
P002,Phone,Electronics,India,Mumbai,Supplier B,2024-03-14,203,46,44,201,46,643,13,0,Healthy,65,129243
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier A,2024-03-15,184,27,30,187,45,1398,3,10,Healthy,21,261426
P003,Tablet,Electronics,USA,New York,Supplier A,2024-03-16,223,29,55,249,86,881,13,2,Healthy,30,219369
P005,Keyboard,Electronics,USA,Los Angeles,Supplier C,2024-03-17,76,53,35,58,90,1427,7,3,Low,44,82766
P002,Phone,Electronics,India,Mumbai,Supplier A,2024-03-18,196,13,77,260,82,342,7,2,Healthy,40,88920
P002,Phone,Electronics,China,Shanghai,Supplier A,2024-03-19,200,28,35,207,52,120,8,4,Healthy,11,24840
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier C,2024-03-20,280,9,44,315,95,770,9,8,Healthy,66,242550
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-03-21,247,45,73,275,65,529,8,6,Healthy,12,145475
P005,Keyboard,Electronics,Germany,Berlin,Supplier A,2024-03-22,169,51,9,127,44,225,2,7,Healthy,12,28575
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-03-23,207,14,22,215,95,984,9,2,Healthy,64,211560
P005,Keyboard,Electronics,USA,Los Angeles,Supplier A,2024-03-24,217,11,69,275,70,555,11,6,Healthy,28,152625
P003,Tablet,Electronics,USA,Los Angeles,Supplier C,2024-03-25,172,36,77,213,96,1202,4,10,Healthy,47,256026
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-03-26,149,28,49,170,91,258,13,7,Healthy,45,43860
P001,Laptop,Electronics,China,Shanghai,Supplier C,2024-03-27,216,19,19,216,100,942,8,5,Healthy,51,203472
P001,Laptop,Electronics,China,Shenzhen,Supplier C,2024-03-28,200,60,48,188,71,684,10,0,Healthy,12,128592
P003,Tablet,Electronics,USA,Los Angeles,Supplier B,2024-03-29,128,27,64,165,86,1162,2,5,Healthy,29,191730
P001,Laptop,Electronics,Germany,Berlin,Supplier B,2024-03-30,143,21,64,186,57,903,5,3,Healthy,15,167958
P005,Keyboard,Electronics,Germany,Berlin,Supplier A,2024-03-31,222,39,28,211,100,466,4,0,Healthy,24,98326
P001,Laptop,Electronics,China,Shanghai,Supplier A,2024-04-01,122,46,64,140,66,204,6,4,Healthy,69,28560
P004,Monitor,Electronics,USA,New York,Supplier A,2024-04-02,228,24,7,211,99,756,12,5,Healthy,42,159516
P001,Laptop,Electronics,India,Delhi,Supplier B,2024-04-03,258,32,14,240,86,1000,3,10,Healthy,63,240000
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier A,2024-04-04,273,28,2,247,82,100,10,4,Healthy,48,24700
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-04-05,210,59,73,224,61,1422,9,2,Healthy,17,318528
P005,Keyboard,Electronics,China,Shenzhen,Supplier A,2024-04-06,287,16,10,281,88,864,14,3,Healthy,51,242784
P005,Keyboard,Electronics,USA,New York,Supplier A,2024-04-07,109,31,57,135,43,680,11,1,Healthy,67,91800
P001,Laptop,Electronics,Germany,Munich,Supplier B,2024-04-08,202,59,42,185,47,998,8,6,Healthy,48,184630
P001,Laptop,Electronics,India,Mumbai,Supplier C,2024-04-09,67,53,52,66,86,1391,5,7,Low,40,91806
P004,Monitor,Electronics,Germany,Munich,Supplier A,2024-04-10,224,43,50,231,99,457,15,5,Healthy,21,105567
P004,Monitor,Electronics,Thailand,Chiang Mai,Supplier B,2024-04-11,155,30,15,140,59,266,13,6,Healthy,63,37240
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-04-12,111,52,26,85,64,331,13,0,Healthy,68,28135
P005,Keyboard,Electronics,Thailand,Chiang Mai,Supplier B,2024-04-13,226,12,43,257,54,1176,13,4,Healthy,10,302232
P001,Laptop,Electronics,India,Delhi,Supplier A,2024-04-14,156,59,73,170,59,140,4,10,Healthy,63,23800
P001,Laptop,Electronics,China,Shenzhen,Supplier A,2024-04-15,223,14,44,253,48,324,4,2,Healthy,19,81972
P003,Tablet,Electronics,China,Shenzhen,Supplier B,2024-04-16,112,32,17,97,91,881,11,7,Healthy,66,85457
P003,Tablet,Electronics,China,Shanghai,Supplier A,2024-04-17,117,44,33,106,51,243,10,10,Healthy,19,25758
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-04-18,200,34,27,193,84,448,15,2,Healthy,49,86464
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier A,2024-04-19,93,21,62,134,82,815,15,7,Healthy,30,109210
P003,Tablet,Electronics,India,Mumbai,Supplier B,2024-04-20,70,23,48,95,67,244,12,6,Healthy,26,23180
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-04-21,132,45,69,156,76,482,3,10,Healthy,60,75192
P004,Monitor,Electronics,India,Delhi,Supplier C,2024-04-22,75,17,48,106,67,655,12,7,Healthy,43,69430
P001,Laptop,Electronics,Thailand,Bangkok,Supplier C,2024-04-23,103,40,27,90,84,54,14,3,Healthy,35,4860
P002,Phone,Electronics,Germany,Munich,Supplier C,2024-04-24,75,38,68,105,85,56,14,2,Healthy,50,5880
P005,Keyboard,Electronics,Thailand,Chiang Mai,Supplier C,2024-04-25,193,56,11,148,44,943,15,3,Healthy,47,139564
P004,Monitor,Electronics,USA,New York,Supplier B,2024-04-26,271,58,23,236,87,741,13,2,Healthy,52,174876
P003,Tablet,Electronics,Germany,Munich,Supplier B,2024-04-27,147,15,68,200,70,520,9,5,Healthy,13,104000
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-04-28,229,52,46,223,51,1043,11,9,Healthy,12,232589
P004,Monitor,Electronics,Thailand,Bangkok,Supplier B,2024-04-29,167,21,3,149,78,749,8,5,Healthy,28,111601
P003,Tablet,Electronics,Thailand,Bangkok,Supplier B,2024-01-01,223,40,27,210,51,918,9,4,Healthy,15,192780
P004,Monitor,Electronics,USA,New York,Supplier C,2024-01-02,203,53,32,182,65,1288,7,4,Healthy,57,234416
P005,Keyboard,Electronics,USA,New York,Supplier A,2024-01-03,88,30,32,90,91,1313,14,5,Low,44,118170
P003,Tablet,Electronics,USA,New York,Supplier C,2024-01-04,70,9,32,93,81,1110,15,0,Healthy,27,103230
P004,Monitor,Electronics,USA,New York,Supplier B,2024-01-05,291,21,70,340,63,282,14,8,Healthy,23,95880
P004,Monitor,Electronics,Germany,Berlin,Supplier B,2024-01-06,191,26,62,227,50,423,10,7,Healthy,63,96021
P005,Keyboard,Electronics,Thailand,Chiang Mai,Supplier A,2024-01-07,161,15,43,189,71,815,8,8,Healthy,22,154035
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-01-08,175,50,41,166,60,1440,2,10,Healthy,25,239040
P001,Laptop,Electronics,USA,New York,Supplier C,2024-01-09,76,31,16,61,91,504,6,0,Low,66,30744
P003,Tablet,Electronics,India,Delhi,Supplier A,2024-01-10,111,40,49,120,94,1424,10,8,Healthy,51,170880
P003,Tablet,Electronics,India,Mumbai,Supplier A,2024-01-11,232,51,54,235,61,1167,13,6,Healthy,32,274245
P002,Phone,Electronics,USA,New York,Supplier A,2024-01-12,271,60,15,226,54,991,12,7,Healthy,42,223966
P002,Phone,Electronics,Germany,Munich,Supplier C,2024-01-13,158,22,6,142,56,1076,4,9,Healthy,12,152792
P001,Laptop,Electronics,India,Delhi,Supplier B,2024-01-14,293,53,49,289,99,920,8,3,Healthy,53,265880
P002,Phone,Electronics,USA,New York,Supplier A,2024-01-15,78,28,21,71,86,892,8,10,Low,12,63332
P005,Keyboard,Electronics,Germany,Berlin,Supplier B,2024-01-16,211,26,76,261,86,1134,13,5,Healthy,29,295974
P002,Phone,Electronics,India,Mumbai,Supplier C,2024-01-17,236,6,53,283,47,518,14,9,Healthy,63,146594
P004,Monitor,Electronics,China,Shanghai,Supplier C,2024-01-18,83,38,70,115,64,983,14,10,Healthy,57,113045
P001,Laptop,Electronics,USA,New York,Supplier C,2024-01-19,216,11,45,250,83,1022,3,0,Healthy,32,255500
P002,Phone,Electronics,Germany,Munich,Supplier A,2024-01-20,100,51,59,108,95,100,14,6,Healthy,32,10800
P003,Tablet,Electronics,India,Delhi,Supplier C,2024-01-21,193,39,59,213,96,1268,11,2,Healthy,68,270084
P001,Laptop,Electronics,USA,New York,Supplier A,2024-01-22,79,44,29,64,91,714,14,10,Low,36,45696
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-01-23,265,32,60,293,41,1087,8,8,Healthy,10,318491
P001,Laptop,Electronics,India,Mumbai,Supplier A,2024-01-24,233,26,79,286,55,125,13,4,Healthy,69,35750
P004,Monitor,Electronics,India,Mumbai,Supplier C,2024-01-25,150,14,74,210,49,229,10,1,Healthy,26,48090
P004,Monitor,Electronics,Germany,Berlin,Supplier A,2024-01-26,69,38,7,38,63,843,5,9,Low,58,32034
P002,Phone,Electronics,USA,Los Angeles,Supplier A,2024-01-27,79,44,71,106,60,1485,15,9,Healthy,12,157410
P003,Tablet,Electronics,India,Delhi,Supplier A,2024-01-28,131,27,31,135,100,722,13,8,Healthy,57,97470
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier C,2024-01-29,113,54,33,92,70,301,6,0,Healthy,55,27692
P002,Phone,Electronics,India,Mumbai,Supplier B,2024-01-30,124,26,50,148,76,1061,8,10,Healthy,25,157028
P005,Keyboard,Electronics,India,Mumbai,Supplier B,2024-01-31,166,17,48,197,67,1048,12,10,Healthy,13,206456
P004,Monitor,Electronics,Thailand,Bangkok,Supplier B,2024-02-01,125,14,22,133,47,1326,8,7,Healthy,61,176358
P002,Phone,Electronics,China,Shenzhen,Supplier A,2024-02-02,115,5,36,146,79,874,14,0,Healthy,27,127604
P003,Tablet,Electronics,China,Shanghai,Supplier B,2024-02-03,274,16,36,294,76,867,9,9,Healthy,38,254898
P004,Monitor,Electronics,USA,New York,Supplier A,2024-02-04,210,31,56,235,69,1048,12,10,Healthy,14,246280
P003,Tablet,Electronics,India,Delhi,Supplier C,2024-02-05,149,9,59,199,99,189,2,5,Healthy,55,37611
P003,Tablet,Electronics,USA,Los Angeles,Supplier A,2024-02-06,63,58,37,42,63,1492,15,6,Low,27,62664
P001,Laptop,Electronics,India,Delhi,Supplier B,2024-02-07,197,49,43,191,60,696,2,4,Healthy,57,132936
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-02-08,112,40,16,88,99,1493,9,9,Low,53,131384
P002,Phone,Electronics,USA,Los Angeles,Supplier B,2024-02-09,204,50,77,231,57,441,6,8,Healthy,17,101871
P002,Phone,Electronics,USA,New York,Supplier A,2024-02-10,196,11,78,263,82,483,12,3,Healthy,14,127029
P003,Tablet,Electronics,China,Shenzhen,Supplier A,2024-02-11,228,49,73,252,86,600,8,5,Healthy,10,151200
P001,Laptop,Electronics,Thailand,Bangkok,Supplier B,2024-02-12,215,28,66,253,89,1152,8,5,Healthy,52,291456
P001,Laptop,Electronics,Thailand,Bangkok,Supplier A,2024-02-13,66,19,7,54,41,166,10,9,Healthy,39,8964
P002,Phone,Electronics,China,Shenzhen,Supplier A,2024-02-14,131,15,0,116,50,1084,2,3,Healthy,67,125744
P005,Keyboard,Electronics,Thailand,Chiang Mai,Supplier A,2024-02-15,234,35,64,263,94,712,6,5,Healthy,53,187256
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-02-16,51,36,59,74,43,938,10,9,Healthy,21,69412
P003,Tablet,Electronics,USA,Los Angeles,Supplier B,2024-02-17,226,27,6,205,43,472,12,0,Healthy,55,96760
P003,Tablet,Electronics,Thailand,Chiang Mai,Supplier A,2024-02-18,226,46,51,231,99,927,6,6,Healthy,55,214137
P003,Tablet,Electronics,China,Shenzhen,Supplier A,2024-02-19,136,39,46,143,43,940,5,6,Healthy,21,134420
P004,Monitor,Electronics,Germany,Berlin,Supplier C,2024-02-20,254,39,33,248,66,1450,14,7,Healthy,10,359600
P005,Keyboard,Electronics,Germany,Berlin,Supplier C,2024-02-21,211,24,74,261,44,660,8,3,Healthy,49,172260
P003,Tablet,Electronics,Germany,Munich,Supplier A,2024-02-22,99,25,1,75,82,1046,12,6,Low,55,78450
P003,Tablet,Electronics,India,Mumbai,Supplier B,2024-02-23,191,20,38,209,62,79,4,2,Healthy,19,16511
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-02-24,107,43,27,91,65,749,14,2,Healthy,38,68159
P001,Laptop,Electronics,India,Delhi,Supplier A,2024-02-25,178,11,16,183,68,222,10,6,Healthy,29,40626
P002,Phone,Electronics,Germany,Berlin,Supplier A,2024-02-26,185,25,27,187,57,131,10,7,Healthy,37,24497
P004,Monitor,Electronics,India,Mumbai,Supplier A,2024-02-27,126,58,65,133,41,866,5,4,Healthy,57,115178
P001,Laptop,Electronics,Thailand,Bangkok,Supplier B,2024-02-28,56,16,30,70,47,460,5,6,Healthy,37,32200
P002,Phone,Electronics,Germany,Munich,Supplier A,2024-02-29,111,28,28,111,99,1033,10,6,Healthy,27,114663
P004,Monitor,Electronics,India,Delhi,Supplier C,2024-03-01,222,25,75,272,60,1457,9,0,Healthy,24,396304
P004,Monitor,Electronics,India,Delhi,Supplier B,2024-03-02,123,52,26,97,96,1451,9,8,Healthy,59,140747
P004,Monitor,Electronics,USA,New York,Supplier B,2024-03-03,265,12,11,264,59,1193,4,8,Healthy,40,314952
P003,Tablet,Electronics,China,Shanghai,Supplier B,2024-03-04,187,50,24,161,40,321,7,7,Healthy,29,51681
P003,Tablet,Electronics,China,Shenzhen,Supplier C,2024-03-05,116,8,17,125,64,1055,15,3,Healthy,36,131875
P002,Phone,Electronics,Thailand,Bangkok,Supplier B,2024-03-06,162,26,53,189,54,1047,5,10,Healthy,70,197883
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier C,2024-03-07,213,14,11,210,68,1390,5,1,Healthy,57,291900
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-03-08,220,42,22,200,54,201,15,10,Healthy,10,40200
P001,Laptop,Electronics,China,Shanghai,Supplier C,2024-03-09,152,59,46,139,45,1324,3,8,Healthy,60,184036
P002,Phone,Electronics,India,Mumbai,Supplier C,2024-03-10,79,43,38,74,45,1195,4,0,Healthy,30,88430
P002,Phone,Electronics,Germany,Berlin,Supplier C,2024-03-11,174,27,17,164,94,241,6,0,Healthy,20,39524
P005,Keyboard,Electronics,Germany,Berlin,Supplier B,2024-03-12,136,26,49,159,81,905,3,3,Healthy,22,143895
P003,Tablet,Electronics,India,Delhi,Supplier A,2024-03-13,190,55,36,171,97,938,6,8,Healthy,55,160398
P002,Phone,Electronics,Thailand,Bangkok,Supplier A,2024-03-14,207,7,12,212,47,841,15,4,Healthy,65,178292
P005,Keyboard,Electronics,USA,New York,Supplier A,2024-03-15,265,47,72,290,99,1294,2,8,Healthy,40,375260
P004,Monitor,Electronics,Germany,Munich,Supplier A,2024-03-16,86,40,45,91,50,1346,4,5,Healthy,47,122486
P004,Monitor,Electronics,Germany,Berlin,Supplier B,2024-03-17,81,19,17,79,58,1198,6,2,Healthy,26,94642
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier A,2024-03-18,120,38,10,92,89,148,13,2,Healthy,13,13616
P005,Keyboard,Electronics,Germany,Berlin,Supplier A,2024-03-19,223,56,78,245,96,652,3,5,Healthy,55,159740
P001,Laptop,Electronics,China,Shenzhen,Supplier C,2024-03-20,80,13,1,68,59,293,8,8,Healthy,49,19924
P002,Phone,Electronics,Germany,Munich,Supplier B,2024-03-21,242,14,48,276,94,1333,13,10,Healthy,61,367908
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier B,2024-03-22,221,33,8,196,58,770,6,9,Healthy,37,150920
P005,Keyboard,Electronics,India,Delhi,Supplier B,2024-03-23,241,49,57,249,93,237,7,9,Healthy,27,59013
P003,Tablet,Electronics,USA,New York,Supplier A,2024-03-24,297,11,23,309,60,857,3,7,Healthy,62,264813
P003,Tablet,Electronics,USA,Los Angeles,Supplier A,2024-03-25,255,52,40,243,52,1190,14,1,Healthy,11,289170
P003,Tablet,Electronics,USA,Los Angeles,Supplier C,2024-03-26,126,42,44,128,78,738,7,0,Healthy,33,94464
P001,Laptop,Electronics,Germany,Berlin,Supplier A,2024-03-27,234,21,26,239,83,341,5,5,Healthy,28,81499
P002,Phone,Electronics,Germany,Munich,Supplier C,2024-03-28,153,41,9,121,54,960,13,6,Healthy,15,116160
P001,Laptop,Electronics,USA,Los Angeles,Supplier A,2024-03-29,80,53,39,66,81,115,10,7,Low,56,7590
P004,Monitor,Electronics,Thailand,Bangkok,Supplier A,2024-03-30,281,59,60,282,55,670,10,9,Healthy,32,188940
P001,Laptop,Electronics,USA,New York,Supplier C,2024-03-31,274,11,8,271,92,1219,4,9,Healthy,19,330349
P001,Laptop,Electronics,Thailand,Chiang Mai,Supplier C,2024-04-01,234,28,6,212,73,680,15,4,Healthy,51,144160
P003,Tablet,Electronics,China,Shanghai,Supplier B,2024-04-02,267,59,5,213,81,713,9,9,Healthy,45,151869
P003,Tablet,Electronics,India,Mumbai,Supplier B,2024-04-03,57,30,44,71,77,950,12,4,Low,50,67450
P003,Tablet,Electronics,India,Mumbai,Supplier C,2024-04-04,281,26,67,322,84,59,12,1,Healthy,23,18998
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier B,2024-04-05,201,31,67,237,100,1215,3,8,Healthy,57,287955
P002,Phone,Electronics,USA,Los Angeles,Supplier C,2024-04-06,137,16,8,129,40,1131,13,5,Healthy,38,145899
P003,Tablet,Electronics,India,Mumbai,Supplier C,2024-04-07,255,49,32,238,49,879,3,0,Healthy,64,209202
P005,Keyboard,Electronics,China,Shenzhen,Supplier A,2024-04-08,237,32,19,224,88,825,15,0,Healthy,30,184800
P004,Monitor,Electronics,China,Shenzhen,Supplier A,2024-04-09,275,50,45,270,68,417,13,6,Healthy,43,112590
P001,Laptop,Electronics,Germany,Berlin,Supplier A,2024-04-10,298,47,43,294,63,220,15,8,Healthy,52,64680
P002,Phone,Electronics,China,Shanghai,Supplier B,2024-04-11,150,42,2,110,73,404,11,1,Healthy,13,44440
P004,Monitor,Electronics,Germany,Munich,Supplier C,2024-04-12,264,12,23,275,43,964,8,5,Healthy,24,265100
P002,Phone,Electronics,China,Shenzhen,Supplier A,2024-04-13,70,22,72,120,99,1160,3,8,Healthy,65,139200
P002,Phone,Electronics,Thailand,Chiang Mai,Supplier C,2024-04-14,105,25,61,141,87,129,9,8,Healthy,44,18189
